Region,Code,College Name,Website,STD Code,Phone,Rural/Urban
BENGALURU,AY,ACHARAYA INSTITUTE OF TECHNOLOGY,https://www.acharya.ac.in/,080,28396011,Urban
BENGALURU,AP,A.P.S COLLEGE OF ENGINEERING,https://www.apsce.ac.in/,080,28432837,Urban
BENGALURU,AM,AMC ENGINEERING COLLEGE,https://amcgroup.edu.in/,080,27828656,Urban
BENGALURU,AR,AMRUTHA INSTITUTE OF ENGINEERING AND MGMT. SCIENCES,http://www.aiems.in/,080,26568483,Urban
BENGALURU,AT,ATRIA INSTITUTE OF TECHNOLOGY,http://www.atria.edu/,080,23631298,Urban
BENGALURU,BC,BENGALURU COLLEGE OF ENGINEERING AND TECHNOLOGY,http://www.bcetbangalore.org/,080,27834822,Rural
BENGALURU,BI,BENGALURU INSTITUTE OF TECHNOLOGY,http://bit-bangalore.edu.in/,080,26615865,Urban
BENGALURU,BO,BRINDAVAN COLLEGE OF ENGG,https://www.brindavancollege.com/,080,28478388,Urban
BENGALURU,CR,C.M.R INSTITUTE OF TECHNOLOGY,http://www.cmr.ac.in/,080,28524477,Urban
BENGALURU,CD,CAMBRIDGE INSTITUTE OF TECHNOLOGY,http://www.cambridge.edu.in/engineering/,080,25618798,Urban
BENGALURU,CG,CHANNA BASAVESHWARA INSTITUTE OF TECHNOLOGY,http://www.cittumkur.org/,08131,223818,Rural
BENGALURU,CE,CITY ENGINEERING COLLEGE,http://www.cityinstitution.com/,080,26669313,Urban
BENGALURU,DB,DON BOSCO INSTITUTE OF TECHNOLOGY,http://www.dbit.co.in/,080,28437028,Urban
BENGALURU,GV,DR. T THIMAIAH INSTITUTE OF TECHNOLOGY,http://drttit.gvet.edu.in/,08153,261219,Rural
BENGALURU,EP,EAST POINT COLLEGE OF ENGINEERING AND TECHNOLOGY,http://www.eastpoint.ac.in/,080,28473777,Rural
BENGALURU,EW,EAST WEST INSTITUTE OF TECHNOLOGY,http://ewit.edu/,080,23286732,Urban
BENGALURU,GC,GHOUSIA COLLEGE OF ENGINEERING,http://www.ghousiaedu.org/,080,27272589,Rural
BENGALURU,SK,GOVERNMENT S.K.S.J.T. INSTITUTE OF TECHNOLOGY,,080,22260126,Urban
BENGALURU,GT,GOVERNMENT TOOL ROOM AND TRAINING CENTRE,,080,23352118,Urban
BENGALURU,GG,GOVT. ENGINEERING COLLEGE RAMNAGAR,http://dte.karnataka.gov.in/Institutes/gecramanagar/,080,27204389,Urban
BENGALURU,HK,HKBK COLLEGE OF ENGINEERING,http://www.hkbkeducation.org/,080,25441722,Urban
BENGALURU,HM,HMS INSTITUTE OF TECHNOLOGY,http://www.hmsit.ac.in/,0816,2214313,Rural
BENGALURU,IC,IMPACT COLLEGE OF ENGINEERING,https://iceas.ac.in/,080,23334101,Urban
BENGALURU,JV,JNANA VIKAS INSTITUTE OF TECHNOLOGY,http://jvitedu.in/,080,27282994,Rural
BENGALURU,JS,JSS ACADEMY OF TECHNICAL EDUCATION,https://jssateb.ac.in/,080,28603425,Urban
BENGALURU,KS,K.S.INSTITUTE OF TECHNOLOGY,http://www.ksit.ac.in/,080,28435724,Urban
BENGALURU,KI,KALPATARU INSTITUTE OF TECHNOLOGY,http://www.kittiptur.ac.in/,08134,251938,Urban
BENGALURU,KN,KNS INSTITUTE OF TECHNOLOGY,https://www.knsit.com/,080,28567494,Urban
BENGALURU,ME,M.S.ENGINEERING COLLEGE,http://www.msec.ac.in/,080,32529939,Urban
BENGALURU,OX,OXFORD COLLEGE OF ENGINEERING,http://www.theoxford.edu/,080,25737285,Urban
BENGALURU,RI,R R INSTITUTE OF TECHNOLOGY,http://www.rrit.ac.in/,080,28391555,Urban
BENGALURU,RL,R.L.JALAPPA INSTITUTE OF TECHNOLOGY,http://rljit.in/,080,27625381,Rural
BENGALURU,RR,RAJARAJESWARI COLLEGE OF ENGINEERING,https://www.rrce.org/,080,28437124,Urban
BENGALURU,RG,RAJIV GANDHI INSTITUTE OF TECHNOLOGY,http://www.rgit.ac.in/,080,55373782,Urban
BENGALURU,RN,RNS INSTITUTE OF TECHNOLOGY,http://www.rnsit.ac.in/,080,28611880,Urban
